"PLT_CN","LON_PUBLIC","LAT_PUBLIC","STATECD","UNITCD","COUNTYCD","PLOT","PLOT_ID","COUNTYFIPS"
"1415133245290487",-109.934775,44.247357,56,1,29,90586,"PID560102990586","56029"
"276307975489998",-105.820314,44.976424,56,3,5,90582,"PID560300590582","56005"
"339004000489998",-104.374253,44.612944,56,3,11,88410,"PID560301188410","56011"
"339004001489998",-104.064377,44.121157,56,3,45,83723,"PID560304583723","56045"
"339004002489998",-104.314338,44.569422,56,3,11,89681,"PID560301189681","56011"
"339004003489998",-104.492143,44.526173,56,3,11,85577,"PID560301185577","56011"
"339004004489998",-104.064774,44.251252,56,3,11,83170,"PID560301183170","56011"
"339004005489998",-104.442593,44.668066,56,3,11,80915,"PID560301180915","56011"
"339004046489998",-104.317361,44.61057,56,3,11,82324,"PID560301182324","56011"
"339004047489998",-104.12097,44.476215,56,3,11,82112,"PID560301182112","56011"
"339004048489998",-104.376365,44.433171,56,3,11,82616,"PID560301182616","56011"
"339004049489998",-104.48395,44.508642,56,3,11,82671,"PID560301182671","56011"
"339004050489998",-104.434714,44.522918,56,3,11,81780,"PID560301181780","56011"
"339004051489998",-104.117407,44.345385,56,3,11,88988,"PID560301188988","56011"
"339004052489998",-104.124483,44.20346,56,3,11,88131,"PID560301188131","56011"
"339004053489998",-104.311386,44.657115,56,3,11,87897,"PID560301187897","56011"
"339004054489998",-104.248628,44.301264,56,3,11,83981,"PID560301183981","56011"
"339004055489998",-104.390019,44.49749,56,3,11,81934,"PID560301181934","56011"
"339004056489998",-104.096291,44.316853,56,3,11,87248,"PID560301187248","56011"
"339004057489998",-104.371322,44.704486,56,3,11,82575,"PID560301182575","56011"
"339004058489998",-104.370468,44.520255,56,3,11,82878,"PID560301182878","56011"
"339004059489998",-104.060766,44.345566,56,3,11,86079,"PID560301186079","56011"
"339004060489998",-104.057176,44.208128,56,3,11,83927,"PID560301183927","56011"
"40416041010690",-106.033598,42.408531,56,2,1,81223,"PID560200181223","56001"
"40416042010690",-105.915503,42.404601,56,2,1,88632,"PID560200188632","56001"
"40416045010690",-105.608518,42.408438,56,2,1,87097,"PID560200187097","56001"
"40416046010690",-105.30846,42.408088,56,2,1,83229,"PID560200183229","56001"
"40416047010690",-105.970085,42.36197,56,2,1,80604,"PID560200180604","56001"
"40416048010690",-105.910785,42.361451,56,2,1,89895,"PID560200189895","56001"
"40416050010690",-105.791593,42.363076,56,2,1,88415,"PID560200188415","56001"
"40416051010690",-105.670208,42.367048,56,2,1,81876,"PID560200181876","56001"
"40416053010690",-106.032194,42.314282,56,2,1,86673,"PID560200186673","56001"
"40416054010690",-105.975235,42.315963,56,2,1,88336,"PID560200188336","56001"
"40416055010690",-105.914864,42.319261,56,2,1,89699,"PID560200189699","56001"
"40416056010690",-105.787855,42.314764,56,2,1,90484,"PID560200190484","56001"
"40416057010690",-105.716543,42.313012,56,2,1,82444,"PID560200182444","56001"
"40416058010690",-105.673613,42.31301,56,2,1,83337,"PID560200183337","56001"
"40416059010690",-105.369361,42.317566,56,2,1,87106,"PID560200187106","56001"
"40416062010690",-105.661005,42.230848,56,2,1,83133,"PID560200183133","56001"
"40416064010690",-105.482185,42.27205,56,2,1,87120,"PID560200187120","56001"
"40416065010690",-105.420604,42.273499,56,2,1,86759,"PID560200186759","56001"
"40416066010690",-105.305592,42.275476,56,2,1,86385,"PID560200186385","56001"
"40416067010690",-105.965501,42.220978,56,2,1,86280,"PID560200186280","56001"
